text	label_p1	label_p2	rationale_label
The Kathmandu Airport has resumed service now. Here are some important details for your reference: http://t.co/o82D46VV44	infrastructure_and_utilities_damage	infrastructure_and_utilities_damage	the kathmandu airport has resumed service now 
We'll all be praying #PrayForNepal Ὁ0 Stay strong and don't give up ✌ἿB️ὤFἿB http://t.co/940t3HWY3a	not_related_or_irrelevant	not_related_or_irrelevant	we 'll all be praying #prayfornepal 0 stay strong and do n't give up bfb
From Delhi to Kochi: Impact of Nepal earthquake across India  http://t.co/3DlEDhIY1E	other_useful_information	other_useful_information	impact of nepal earthquake across india
RT @ShivAroor: That scary swimming pool CCTV video everyone is sharing is fake. Not from Nepal.	not_related_or_irrelevant	not_related_or_irrelevant	that scary swimming pool cctv video everyone is sharing is fake . not from nepal .
"RT @nepalitimes: After 82 hours,Rishi Khanal is pulled out alive from underneath fallen floors http://t.co/kKCiImlIau #NepalEarthquake http…"	affected_people_and_evacuations	affected_people_and_evacuations	rishi khanal is pulled out alive 
"Nepal earthquake: Eight million people affected, UN says http://t.co/kXMLYv8zeQ via BBC"	affected_people_and_evacuations	affected_people_and_evacuations	eight million people affected 
RT @ZacEfron: Nepal needs our help. Please text REDCROSS to 90999 to give $10 for relief or visit http://t.co/e1KQCsHpB6 to donate. http://…	not_related_or_irrelevant	not_related_or_irrelevant	nepal needs our help . please text redcross to 90999 to give $ 10 for relief or visit to donate . :/ /
Several Britons are among ones stranded on Mount Everest after Nepal earthquake ...	affected_people_and_evacuations	affected_people_and_evacuations	several britons are among ones stranded 
"RT @nwarikoo: In Nepal,""Israel evacuates surrogate babies, leaves mothers behind."" Gay Israeli couples rent Indian wombs for babies http://…"	affected_people_and_evacuations	affected_people_and_evacuations	israel evacuates surrogate babies , leaves mothers behind 
"RT @salokya: Kathmandu Intl Airport is not closed for 4 pm says airport officials, It was closed for few moment after aftershock. Now resum…"	infrastructure_and_utilities_damage	infrastructure_and_utilities_damage	kathmandu intl airport is not closed for 4 pm  _sep_exp_token_ it  _sep_exp_token_ closed 
"@mallabipin Hi Bipin,BMO has made donation to the Nepal relief efforts and clients can donate to the Red Cross at their local BMO branch.^TO"	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	bmo has made donation to the nepal relief efforts 
Social media pitches in for Nepal quake aftermath: In the aftermath of the 7.9 magnitude earthquake... http://t.co/TWrMVwiJoW #SocialWeb	other_useful_information	other_useful_information	nepal quake aftermath  _sep_exp_token_ in the aftermath of the 7.9 magnitude earthquake 
RT @ABC7: #EARTHQUAKE 7.5-magnitude quake rocks Nepal; damage reported http://t.co/bIAuYjhjgz http://t.co/GFE7ml8wtP	other_useful_information	other_useful_information	7.5- magnitude quake rocks nepal ; damage reported
http://t.co/styU34Eu05 #Nepalearthquake * Nepal Earthquake: Teen Pulled From Rubble Alive Five Days After Disaster N… http://t.co/igBspEuKT2	affected_people_and_evacuations	affected_people_and_evacuations	teen pulled from rubble alive 
#News | http://t.co/XTCliQmYEf | Scots left stranded after devastating earthquake strikes Nepal	affected_people_and_evacuations	affected_people_and_evacuations	scots left stranded 
"#National India evacuates 170 foreigners from Nepal: The government has also brought back over 5,400 Indians so… http://t.co/xSNguLFxdh"	affected_people_and_evacuations	affected_people_and_evacuations	india evacuates 170 foreigners  _sep_exp_token_ brought back over 5,400 indians 
"RT @RT_com: UPDATE: New powerful #NepalEarthquake triggers avalanche, tremors felt in #India http://t.co/9mXgqDZEWh http://t.co/GMCF24Fck7"	other_useful_information	other_useful_information	update  _sep_exp_token_ new powerful #nepalearthquake triggers avalanche , tremors felt in #india
RT @priyankachopra: Prayers for all struck by the Nepal earthquake.Natures fury is incomparable.Share emergency contacts #SilentPrayer http…	not_related_or_irrelevant	not_related_or_irrelevant	prayers for all struck 
RT @ANI_news: Lucknow: UP Government sends 21 trucks carrying relief material to the affected in #NepalEarthquake http://t.co/9bwSwKW3hI	rescue_volunteering_and_donation_effort	rescue_volunteering_and_donation_effort	up government sends 21 trucks carrying relief material to the affected 
