tweet_id,tweet_text,corrected_label,informative_content
592285069143711744',RT @chicagotribune: Rescuers try to free a man trapped in the rubble of #NepalEarthquake; at least 718 dead (EPA) http://t.co/bYAHGpUirp ht…,affected_people_and_evacuations,Rescuers try to free a man trapped in the rubble
592286992219516929',"50 Families From Mizoram Stuck in Nepal, Safe: All families Mizoram living in Nepal, many of them missionaries... http://t.co/xSCf28xXKP",affected_people_and_evacuations,"50 Families From Mizoram Stuck in Nepal, Safe"
592344091293188096',RT @harbhajan_singh: A special thank you to the Indian government and IAF for the immediate help and rescue work in Nepal.. Humanity is res…,not_related_or_irrelevant,RT @harbhajan_singh: A special thank you to the Indian government and IAF for the immediate help and rescue work in Nepal.. Humanity is res…
593398115429916672',"♫ Just Announced: Ko Phangan, Thailand - Apr 30 at Nepal Fundraiser @ Leela Beach http://t.co/Fq3xj4lpqm",rescue_volunteering_and_donation_effort,Nepal Fundraiser 
592304201364967426',"RT @iamNjisha: Destruction ,damage ,x-(x-(\n#NepalEarthquake #Pray4Nepal http://t.co/qS7kDJx7cC",infrastructure_and_utilities_damage,"Destruction ,damage"
591925499376472065',"#Nepal #Earthquake – Devastating Nepal earthquake kills hundreds, triggers avalanches – A powerful… http://t.co/AGdIVROQBS #News #Asia",injured_or_dead_people,kills hundreds
592275613664219137',RT @Outlookindia: Nepal Earthquake: Father-Son Duo of Jammu Hamlet Killed | http://t.co/yaQbKhkfOy | Outlook Wires,injured_or_dead_people,Father-Son Duo of Jammu Hamlet Killed
592281453662056448',"#BREAKING | #Kathmandu airport re-opens after #NepalEarthquake forced shutting of operations, stranding many tourists http://t.co/EzoQ0zTpE6",infrastructure_and_utilities_damage,#Kathmandu airport re-opens 
592295595093655554',Nepal landmarks flattened by the quake -  http://t.co/wXbzoBfTIb heritage tragedy,infrastructure_and_utilities_damage,Nepal landmarks flattened 
592246059470082051',RT @whitemagic_adv: #NepalEarthquake Domestic Airport closed today. Only one flight from Lukla lands. Lukla weather still bad,infrastructure_and_utilities_damage,Domestic Airport closed today
592283465841643521',"Today Fresh aftershock measuring 6.7 jolts Nepal, India again\nIndia Today-2 hours ago\nA powerful aftershock... http://t.co/R8XxIzzLgU",other_useful_information,Fresh aftershock measuring 6.7 jolts Nepal
592278701057802240',ISBPL: #NEWS Asian countries search for citizens stranded in Nepal earthquake: Japan's foreign ministry said i... http://t.co/DlsbG44mW1,affected_people_and_evacuations,Asian countries search for citizens stranded
591946639281008641',"RT @msnindia: RT @BT_India: SpiceJet says full refund, re-scheduling for #Kathmandu flights #earthquake http://t.co/QTTab4hLN2",infrastructure_and_utilities_damage,"full refund, re-scheduling for #Kathmandu flights"
599988404974059521',RT @SirJadeja: Dedicated To #NepalEarthquake Victims. #PrayForNepal http://t.co/51HhA1TtPS,not_related_or_irrelevant,RT @SirJadeja: Dedicated To #NepalEarthquake Victims. #PrayForNepal http://t.co/51HhA1TtPS
592824371703590913',"RT @SkyNews: More than 4,000 people have died following Saturday's earthquake in Nepal, officials say #NepalEarthquake http://t.co/w3ztO7pu…",injured_or_dead_people,"More than 4,000 people have died"
591990088071979010',AXJ NEPAL : 7.9 MASSIVE EARTHQUAKE.,other_useful_information,7.9 MASSIVE EARTHQUAKE.
592275239720984578',RT @TimesNow: Over 5000 injured in Nepal earthquake,injured_or_dead_people,Over 5000 injured
592245236560056320',RT @9NewsAUS: Fears for six Australians missing in Nepal following powerful 7.9 magnitude earthquake. http://t.co/ByWnWrQDys #9News http://…,affected_people_and_evacuations,six Australians missing
592253914017234944',#NepalEarthquake: #Kathmandu's famous #Pashupatinath Temple has experienced minor damage on its outer facade. http://t.co/J0SbU0Jega,infrastructure_and_utilities_damage,#Kathmandu's famous #Pashupatinath Temple has experienced minor damage on its outer facade
593322108110774272',RT @BixberNavy: This is such a miserable site to see. Please do send help. ὢDὢDὢD #PrayForNepal #NepalEarthquake http://t.co/P8wRuJHavQ,not_related_or_irrelevant,RT @BixberNavy: This is such a miserable site to see. Please do send help. ὢDὢDὢD #PrayForNepal #NepalEarthquake http://t.co/P8wRuJHavQ
592284992434081792',@ayesanjog Kathmandu airport has reopened. That is a good sign.,infrastructure_and_utilities_damage,Kathmandu airport has reopened
591952492470009856',180 Bodies Retrieved From Debris of Nepal's Historic Tower | http://t.co/8pbfFT8AbI | Outlook Wires,injured_or_dead_people,180 Bodies Retrieved
592893734011961344',Jockeying for good will: China and India rush to Nepal's aid in wake of quake: BEIJING (AP) -- Wedged between ... http://t.co/KzYSPf46Le,rescue_volunteering_and_donation_effort,China and India rush to Nepal's aid 
593580231501352960',"World Bank Extends Support to Nepal: Extending support to earthquake-hit Nepal, World Bank President Jim Yong Kim has said the global...",rescue_volunteering_and_donation_effort,World Bank Extends Support to Nepal: Extending support to earthquake-hit Nepal
592298695661490176',loool what if i told you that praying won't help nepal's situation,not_related_or_irrelevant,loool what if i told you that praying won't help nepal's situation
592277800285003777',#Nepal #earthquake : #Everest survivors describe ordeal http://t.co/vjiaXUs1dr,other_useful_information,#Everest survivors describe ordeal
593816525884133377',Inspired by @LydiaKo donating this weeks winnings to the victims of the Nepal earthquake.,rescue_volunteering_and_donation_effort,donating this weeks winnings to the victims 
592683668440817664',Nepal earthquake: Kathmandu turns into city of tents as victims seek refuge - The Straits Times http://t.co/ZBF0PAM6rC,affected_people_and_evacuations,turns into city of tents as victims seek refuge
592278662751395840',"I know people climbing Everest, luckily all safe, but thoughts go to those who have been effected by Nepal earthquake &amp; Everest avalanche",affected_people_and_evacuations,"people climbing Everest, luckily all safe"
593153902041800704',RT @GivMeSome_Mo: Death count is above 4600 in Nepal! That's insane!!! #PrayersUp,injured_or_dead_people,Death count is above 4600
